,Place,State
0,Coimbatore,Tamil Nadu
1,Rudrapur,Uttarakhand
2,Bhilai,Chhattisgarh
3,Raigarh,Chhattisgarh
4,Navi Mumbai,Maharashtra
5,Aluva,Kerala
6,Vijayawada,Andhra Pradesh
7,Firozabad,Uttar Pradesh
8,Panna,Madhya Pradesh
9,Panipat,Haryana
10,Channapatna,Karnataka
11,Varanasi,Uttar Pradesh
12,Moradabad,Uttar Pradesh
13,Bareilly,Uttar Pradesh
14,Jamshedpur,Jharkhand
15,Tiruppur,Tamil Nadu
16,Rajahmundry,Andhra Pradesh
17,Bokaro Steel City,Jharkhand
18,Kolkata,West Bengal
19,Durgapur,West Bengal
20,Kharagpur,West Bengal
21,Hosdurg,Kerala
22,Haldia,West Bengal
23,Indore,Madhya Pradesh
24,Pithampur,Madhya Pradesh
25,Belagavi,Karnataka
26,Dibrugarh,Assam
27,Palakkad,Kerala
28,Delhi,Delhi
29,Noida,Uttar Pradesh
30,Kannur,Kerala
31,Salem,Tamil Nadu
32,Sivakasi,Tamil Nadu
33,Kanpur,Uttar Pradesh
34,Rajkot,Gujarat
35,Kochi,Kerala
36,Peenya,Karnataka
37,Surat,Gujarat
38,Rourkela,Odisha
39,Visakhapatnam,Andhra Pradesh
40,Angul,Orissa
41,Ahmedabad,Gujarat
42,Gandhinagar,Gujarat
43,Jamnagar,Gujarat
44,Vadodara,Gujarat
45,Bharuch Ankleshwar,Gujarat
46,Ludhiana,Punjab
47,Pimpri-Chinchwad,Maharashtra
48,Mumbai,Maharashtra
49,Bangalore,Karnataka
50,Thiruvananthapuram,Kerala
51,Thrissur,Kerala
52,Gajraula,Uttar Pradesh
53,Unnao,Uttar Pradesh
54,Sri City,Andhra Pradesh
55,Margao,Goa
56,Kunnamkulam,Kerala
57,Darjeeling,West Bengal
58,Nashik,Maharashtra
59,Chennai,Tamil Nadu
60,Hosur,Tamil Nadu
61,Haridwar,Uttarakhand
62,Faridabad,Haryana
63,Mathura,Uttar Pradesh
64,Gurugram,Haryana
65,Baddi,Himachal Pradesh
66,Calicut,Kerala
67,Pune,Maharashtra
68,Aurangabad,Maharashtra
69,Nagpur,Maharashtra
70,Mirzapur,Uttar Pradesh
71,Perambra,Kerala
72,Muzaffarnagar,Uttar Pradesh
73,Meerut,Uttar Pradesh
74,Saharanpur,Uttar Pradesh
75,Bulandshahr,Uttar Pradesh
76,Ichalkaranji,Maharashtra
77,Muvattupuzha,Kerala
78,Aligarh,Uttar Pradesh
79,Anjar,Gujarat
80,Bardoli,Gujarat
81,Chittaranjan,West Bengal
82,Hyderabad,Telangana
83,Jharia,Jharkhand
84,Morbi,Gujarat
85,Nepanagar,Madhya Pradesh
86,Kollam,Kerala
87,Tiruvalla,Kerala
88,Kottayam,Kerala
89,Idukki,Kerala
90,Alappuzha,Kerala
91,Cherthala,Kerala
92,Alwaye,Kerala
93,Ambattur,Tamil Nadu
94,Ambarnath,Maharashtra
95,Amritsar,Punjab
96,Avadi,Tamil Nadu
97,Ankleshwar,Gujarat
98,Bhadravati,Karnataka
99,Cochin,Kerala
100,Dindigul,Tamil Nadu
101,Ennore,Tamil Nadu
102,Guntur,Andhra Pradesh
103,Kagithapuram,Tamil Nadu
104,Kalpakkam,Tamil Nadu
105,Kanpur,Uttar Pradesh
106,Kollegal,Karnataka
107,Kolar,Karnataka
108,Lucknow,Uttar Pradesh
109,Moradabad,Uttar Pradesh
110,Mysore,Karnataka
111,Raebareli,Uttar Pradesh
112,Nandambakkam,Tamil Nadu
113,Nangal,Punjab
114,Nepanagar,Madhya Pradesh
115,Neyveli,Tamil Nadu
116,Ooty,Tamil Nadu
117,Perambur,Tamil Nadu
118,Pinjore,Haryana
119,Rupnarayanpur,West Bengal
120,Renukoot,Uttar Pradesh
121,Dhanbad,Jharkhand
122,Singhbhum,Jharkhand
123,Sirpur,Madhya Pradesh
124,Sivakasi,Tamil Nadu
125,Udhana,Gujarat
126,Worli,Maharastra
127,Zaina Kot,Jammu and Kashmir
128,Kolhapur,Maharashtra
