,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Coimbatore,11.0018115,76.9628425,GECO Grinding Centre,11.0,76.966667,Factory
1,Coimbatore,11.0018115,76.9628425,Raj Hardware,11.006741,76.96485,Factory
2,Coimbatore,11.0018115,76.9628425,South India Bearing Co,11.006617,76.96589,Factory
3,Coimbatore,11.0018115,76.9628425,Orient Machinery,11.0067,76.96595,Factory
4,Coimbatore,11.0018115,76.9628425,General Industrial Suppliers,11.006676,76.96651,Factory
5,Coimbatore,11.0018115,76.9628425,Daintys,11.004351,76.975223,Factory
6,Coimbatore,11.0018115,76.9628425,RKR,11.010030526416923,76.94794754953286,Factory
7,Rudrapur,28.974744,79.3963951,Bharat Rice Mill,28.97317004277206,79.38637914965832,Factory
8,Rudrapur,28.974744,79.3963951,DHN technologies Pvt Ltd,28.974559783935547,79.38129425048828,Factory
9,Rudrapur,28.974744,79.3963951,"Thandi Sarak, kicha by pas",28.964758,79.411057,Factory
10,Bhilai,21.2120677,81.3732849,Jagdamba Industries,21.220468,81.381418,Factory
11,Bhilai,21.2120677,81.3732849,acc Jamul,21.212847042968257,81.35683044082624,Factory
12,Bhilai,21.2120677,81.3732849,Bhilai Steel Plant,21.198703306974284,81.38529884970946,Factory
13,Aluva,10.17039815,76.38839448844891,Acceler Steel (p) Ltd.,10.172676315789474,76.37439122332859,Factory
14,Vijayawada,16.5087586,80.6185102,Maharshi Advertising Network,16.51452525499762,80.63074855212061,Factory
15,Varanasi,25.3356491,83.0076292,Silk Manufacturing,25.33396,83.006592,Factory
16,Jamshedpur,22.8015194,86.2029579,PRAXAIR,22.799981776807126,86.19737126935325,Factory
17,Jamshedpur,22.8015194,86.2029579,Allgemein,22.807170867919922,86.20726776123047,Factory
18,Jamshedpur,22.8015194,86.2029579,Tata Steel,22.798465508213493,86.18946656787017,Factory
19,Jamshedpur,22.8015194,86.2029579,tata steel bugdha gate,22.799570083618164,86.1889419555664,Factory
20,Tiruppur,11.1017815,77.345192,Ramraj handlooms,11.099451907111694,77.34418906079121,Factory
21,Tiruppur,11.1017815,77.345192,Vijay Clothing Company,11.110404568239298,77.34260758829414,Factory
22,Tiruppur,11.1017815,77.345192,Frontier Knitters,11.110678906690042,77.34279265533483,Factory
23,Tiruppur,11.1017815,77.345192,Angel Zippel,11.1151,77.34652,Factory
24,Tiruppur,11.1017815,77.345192,S. B. Apparels,11.116303443908691,77.34107208251953,Factory
25,Tiruppur,11.1017815,77.345192,Raiser Tapes,11.088986296253513,77.33233451843262,Factory
26,Rajahmundry,17.0050454,81.7804732,"Ratnam Enterprises, Saroja Rao.",16.992176055908203,81.77613067626953,Factory
27,Rajahmundry,17.0050454,81.7804732,International Paper,17.020221729469565,81.7738129697211,Factory
28,Kolkata,22.5414185,88.35769124388872,Philips India Limited,22.53659955966892,88.34705114364624,Factory
29,Kolkata,22.5414185,88.35769124388872,Dey's Medical,22.527850716993328,88.3613623612278,Factory
30,Kolkata,22.5414185,88.35769124388872,Jupiter Industries,22.533557301261837,88.34485173225403,Factory
31,Kolkata,22.5414185,88.35769124388872,Skippers LImited,22.540194689259458,88.34733009338379,Warehouse
32,Indore,22.7203616,75.8681996,JASH Precision | Manufacturers of Precision Surface Equipments & More,22.716973473767258,75.86746215820312,Factory
33,Indore,22.7203616,75.8681996,Index Engineering Pvt. Ltd.,22.72496810767392,75.86905133921064,Factory
34,Indore,22.7203616,75.8681996,Madhuban Enterprises,22.714049017037716,75.86692571640013,Factory
35,Indore,22.7203616,75.8681996,MP Transformers Private Ltd.,22.721070577073462,75.85834264755248,Factory
36,Indore,22.7203616,75.8681996,Agrawal Drugs And Chemicals Pvt. Ltd. - Indore,22.72559,75.87674,Factory
37,Indore,22.7203616,75.8681996,Hukumchand Factory,22.735079,75.868454,Factory
38,Indore,22.7203616,75.8681996,Palak Metals Pvt Ltd,22.734687614891843,75.85653581239013,Factory
39,Pithampur,22.6105576,75.6790283,Eicher Trucks & Buses,22.616235121529876,75.68210634033278,Factory
40,Pithampur,22.6105576,75.6790283,VE Commercial Vehicles,22.611076432005014,75.66809903387409,Factory
41,Pithampur,22.6105576,75.6790283,Volvo-Eicher PowerTrain,22.611085522127492,75.66809457014953,Factory
42,Pithampur,22.6105576,75.6790283,MAN Trucks India Pvt. Ltd.,22.601719662558263,75.68875244045472,Factory
43,Belagavi,15.8572666,74.5069343,Flexpert Bellows Pvt Ltd,15.85212,74.50447,Factory
44,Palakkad,10.7691989,76.6512469,Star Ice Factory,10.77260684967041,76.6461181640625,Factory
